rank, address, quantity, percentage
280, 0xad730a18bdf3e62b6711bf71fdc4eda2b65cad94, 2566.321675274396390193, 0.0420
281, 0xfb8d982fd36bcb7cdcdbd0a240bfa3c06e63286a, 2561.56267951363412455, 0.0419
282, 0x688e109e08aa6801a239098fbb010a1959908db2, 2560, 0.0419
283, 0x109d45a4957fb5f044ed56cbce87542b5eb02b75, 2555.188258844764100557, 0.0418
284, 0x26c6d3e310eba98389472d37c5deb89a72a4115c, 2553.299, 0.0418
285, 0xb2f24c7aa1af7aea1eb256617447719e6981a746, 2545.480016466932518699, 0.0417
286, 0x0f145e15e858e54f4c06d59f011d907a4a84eb2d, 2540, 0.0416
287, 0xb5262412696c000e1a9744e155ee7bc47dd37048, 2526.0069, 0.0413
288, 0xd1a4dee8ac8cb62794bfabe5aa0181fb678b580a, 2520, 0.0412
289, 0xe6914217b6fe2b7052a698a560a6b3a1e69f4366, 2520, 0.0412
290, Huobi 1, 2500.077245761489752569, 0.0409
291, 0x9748a19d07df3b8822f05f9cfc1790677006c60f, 2500, 0.0409
292, 0xb7b205557bce3d3a5bc6252000c72e029199d8d1, 2500, 0.0409
293, 0x51dd21ed78dcf938e0d69db66adf256d7161b478, 2500, 0.0409
294, 0xd63c151b18a9bc54bf9efe7fa6c4a3785d48b6dc, 2499.816840966880625193, 0.0409
295, 0x8a23e8dea607ff0864c6abd29644f403f1b4aea0, 2497.544556884337901328, 0.0409
296, 0x09e67f3d3cb7ec61f5f7ccd1bdc16430307c877e, 2496.124029106981713766, 0.0409
297, 0xb49916147b729ac54ff100c9ae5e6c706ede847e, 2496.10503, 0.0409
298, 0x81dc2f05bdbf201467bf9ae962d5088265eec13a, 2494.1237993, 0.0408
299, 0xa7fd1cd29540e431d452cefb27769777d6e7b8f3, 2480, 0.0406
300, 0x018cd9dc174c122a8b104a642613c64bad5bc540, 2455.09, 0.0402
301, 0x9913cee20f3a58bcb0fd9d6a0f70edd0566bcad7, 2440, 0.0399
302, 0x456325f2ac7067234dd71e01bebe032b0255e039, 2431.497871493603707506, 0.0398
303, 0xadef73f28a732d8ed224aefd67bc06c63dea0315, 2420, 0.0396
304, 0xa085401b455c6844af24a489c048396a50cb5139, 2419.1780045, 0.0396
305, 0x1c967d6e67a64555a209258e41246cc236769e99, 2409.96, 0.0394
306, 0x1dbe3d5947c068ee9bcfcbdf0e1b0a34fe885c89, 2404.10829062969113311, 0.0393
307, 0x64e607b75b5caadbfd8d7c3bd275010a1179f658, 2400, 0.0393
